ISR,-27.343070,-55.860619
HGB,-27.341712,-55.859189
HJM,-27.340462,-55.859320
HGC,-27.339049,-55.859473
HPK,-27.337711,-55.859630
PGSR,-27.342741,-55.861347
PGPJC,-27.343884,-55.862006
PWPJC,-27.344426,-55.860840
PWSR,-27.343256,-55.860204
PJCJM,-27.341149,-55.868285
CLCPJC,-27.345150,-55.859018
AVC1,-27.325791,-55.859658
AVC2,-27.325685,-55.859666
AVC3,-27.325908,-55.860905
AVC4,-27.325797,-55.860911
AVC5,-27.326017,-55.862400
AVC6,-27.325905,-55.862412
AVC7,-27.326150,-55.863861
AVC8,-27.326025,-55.863869
AVC9,-27.326277,-55.865326
AVC10,-27.326151,-55.865342
AVC11,-27.326438,-55.867166
AVC12,-27.326330,-55.867174
AVC13,-27.326590,-55.868636
AVC14,-27.326461,-55.868655
AVC15,-27.326614,-55.870120
AVC16,-27.326493,-55.870136
AVC17,-27.326836,-55.871562
AVC18,-27.326721,-55.871574
AVC19,-27.326938,-55.873054
AVC20,-27.326819,-55.873077
AVF1,-27.326993,-55.873089
AVF2,-27.327009,-55.873212
AVF3,-27.328222,-55.873040
AVF4,-27.328227,-55.873174
AVF5,-27.329648,-55.872865
AVF6,-27.329667,-55.873043
AVF7,-27.330982,-55.872743
AVF8,-27.330997,-55.872875
AVF9,-27.332329,-55.872603
AVF10,-27.332346,-55.872744
AVF11,-27.333436,-55.872481
AVF12,-27.333449,-55.872601
AVF13,-27.334749,-55.872306
AVF14,-27.334764,-55.872463
AVF15,-27.335847,-55.872133
AVF16,-27.335866,-55.872297
RCOS1,-27.335965,-55.872102
RCOS2,-27.335942,-55.872280
RCOS3,-27.336142,-55.872403
RCOS4,-27.336270,-55.872291
RCOS5,-27.336258,-55.872098
RCOS6,-27.336045,-55.872041
PYU1,-27.326829,-55.873226
PYU2,-27.326941,-55.873211
ROSEX1,-27.325726,-55.859438
ROSEX2,-27.325678,-55.859528
ROSEX3,-27.325778,-55.859601
A16,-27.327129,-55.871547
JLM16,-27.326902,-55.868605
CAL16,-27.326460,-55.865313
I16,-27.326169,-55.862385
"H26,-27.342498,-55.859085
"
CN18,-27.327140,-55.859756
"VM1,-27.329604,-55.872476
"
V18,-27.329768,-55.859568
TRP1,-27.332286,-55.872157
CM18,-27.332296,-55.859264
CC1,-27.334708,-55.871799
MW18,-27.334973,-55.858973
PK16,-27.337632,-55.858667
JM14,-27.340401,-55.858446
"PJC19,-27.345358,-55.858445
"
GB1,-27.342068,-55.862577
